Model, Price
2016 Mazda 2 Maxx,"$15,995"
2009 Mazda 3 NEO,"$10,888"
2018 Mazda 3 SP25 Astina (5YR),"$29,990"
2010 Mazda 3 Maxx,"$10,995"
2015 Mazda 6 Touring,"$22,998"
2005 Mazda 3 SP23,"$8,690"
2011 Mazda 3 SP25,"$14,990"
2008 Mazda 3 Maxx,"$7,990"
2017 Mazda 6 Atenza,"$29,995"
2006 Mazda 3 SP23,"$4,990"
2020 Mazda 3 G20 Evolve Vision,"$24,990"
2015 Mazda 3 Touring,"$19,990"
2018 Mazda 2 NEO,"$19,990"

2016 Mazda 2 Maxx,"$15,995"
2009 Mazda 3 NEO,"$10,888"
2018 Mazda 3 SP25 Astina (5YR),"$29,990"
2010 Mazda 3 Maxx,"$10,995"
2015 Mazda 6 Touring,"$22,998"
2005 Mazda 3 SP23,"$8,690"
2011 Mazda 3 SP25,"$14,990"
2008 Mazda 3 Maxx,"$7,990"
2017 Mazda 6 Atenza,"$29,995"
2006 Mazda 3 SP23,"$4,990"
2020 Mazda 3 G20 Evolve Vision,"$24,990"
2015 Mazda 3 Touring,"$19,990"
2018 Mazda 2 NEO,"$19,990"

2015 Mazda 2 NEO,"$15,000"
2022 Mazda 6 GT SP,"$52,988"
2019 Mazda 6 GT,"$36,590"
2021 Mazda 3 G20 Touring,"$35,999"
2018 Mazda 6 GT,"$36,990"
2019 Mazda 3 G25 Astina,"$35,990"
2013 Mazda 3 NEO,"$14,995"
2016 Mazda 3 Maxx,"$22,490"
2014 Mazda 3 SP25 GT,"$17,999"
2008 Mazda 3 NEO,"$7,990"
2010 Mazda 3 SP25,"$10,990"
2012 Mazda 3 NEO,"$14,489"
2022 Mazda 2 G15 GT,"$30,388"

2013 Mazda 3 NEO,"$14,995"
2014 Mazda 6 Touring,"$19,422"
2014 Mazda 3 SP25,"$17,990"
2009 Mazda 3 Maxx,"$13,990"
2015 Mazda 3 Maxx,"$22,888"
2022 Mazda 3 G20 Touring,"$36,700"
2016 Mazda 6 Touring,"$21,990"
2016 Mazda 3 NEO,"$21,888"
2020 Mazda 3 G20 Pure,"$30,998"
2022 Mazda 6 Atenza,"$56,388"
2018 Mazda 3 SP25 Astina,"$28,990"
2014 Mazda 6 Touring,"$17,995"
2022 Mazda 3 G25 GT,"$40,988"

2005 Mazda 3 SP23,"$8,995"
2021 Mazda 3 G20 Pure,"$31,999"
2010 Mazda 3 NEO,"$13,000"
2012 Mazda 3 Maxx Sport,"$14,999"
2021 Mazda 6 Atenza,"$46,990"
2022 Mazda 3 G25 Astina,"$45,288"
2007 Mazda 3 Maxx Sport,"$7,750"
2010 Mazda 2 Maxx,"$12,490"
2017 Mazda 6 Atenza,"$30,990"
2005 Mazda 3 NEO,"$7,996"
2012 Mazda 3 NEO,"$13,999"
2005 Mazda 6 Limited,"$6,999"
2022 Mazda 6 Touring,"$39,890"

2022 Mazda 6 Touring,"$39,890"
2020 Mazda 6 Atenza,"$47,999"
2017 Mazda 6 Touring,"$26,490"
2002 Mazda 6 Luxury,"$6,990"
2005 Mazda 3 Maxx,"$5,999"
1999 Mazda 626 Limited,"$4,000"
2006 Mazda 3 SP23,"$6,199"
2013 Mazda 6 Sport,"$19,990"
2017 Mazda 3 SP25 Astina,"$20,489"
2017 Mazda 3 SP25,"$24,990"
2017 Mazda 3 Maxx,"$20,000"
2011 Mazda 6 Touring,"$8,995"
2007 Mazda 3 SP23,"$11,990"

2013 Mazda 3 NEO,"$7,900"
2016 Mazda 3 Touring,"$16,962"
2010 Mazda 3 NEO,"$12,996"
2013 Mazda 6 Atenza,"$19,922"
2010 Mazda 3 Maxx,"$8,995"
2022 Mazda 2 G15 GT,"$30,988"
2013 Mazda 3 NEO,"$11,000"
2019 Mazda 3 G25 Astina,"$31,890"
2018 Mazda 6 GT,"$32,995"
2009 Mazda 3 Maxx Sport,"$8,000"
2022 Mazda 2 G15 GT,"$30,988"
2022 Mazda 3 G25 GT,"$39,988"
2005 Mazda 3 Maxx,"$7,480"

2017 Mazda 3 SP25 GT,"$28,490"
2007 Mazda 3 SP23,"$5,500"
2005 Mazda 6 Limited,"$5,850"
2008 Mazda 3 NEO Sport,"$6,200"
2020 Mazda 3 G25 Astina,"$36,990"
2003 Mazda 6 Luxury,"$5,650"
